Hours since 1 January 2017 00:00,Measured grid demand (MW)
794,6146.26
794.5,6129.36
795,6122.9
795.5,6086.06
796,6069.68
796.5,6104.88
797,6181.3
797.5,6371.54
798,6479.32
798.5,6762.45
799,7054.16
799.5,7412.05
800,7654.89
800.5,7741.99
801,7783.8
801.5,7828.51
802,7892.35
802.5,7915.57
803,7930.27
803.5,7952.58
804,8006.68
804.5,8017.26
805,8139.86
805.5,8187.56
806,8261.01
806.5,8334.1
807,8367.76
807.5,8442.07
808,8652.28
808.5,8717.24
809,8712.92
809.5,8677.89
810,8575.39
810.5,8441.09
811,8469.87
811.5,8407.35
812,8352.75
812.5,8183.03
813,7987.4
813.5,7872.36
814,7583.35
814.5,7214
815,7062.96
815.5,6835.51
816,6515.6
816.5,6398
817,6287.28
817.5,6128.89
818,6044.55
818.5,5972.43
819,5956.42
819.5,5947.55
820,5903.97
820.5,5902.65
821,5900.48
821.5,5933.74
822,5919.62
822.5,5965.12
823,6106.92
823.5,6379.18
824,6499.68
824.5,6630.52
825,6773.62
825.5,6861.34
826,6939.53
826.5,7025.69
827,7151.52
827.5,7231.89
828,7327.19
828.5,7322.09
829,7463.63
829.5,7469.67
830,7544.59
830.5,7712.72
831,7835.77
831.5,7948.2
832,8068.21
832.5,8081.39
833,8166.71
833.5,8172.32
834,8181.95
834.5,8245.73
835,8277.69
835.5,8228.54
836,8151.14
836.5,8053.37
837,7860.02
837.5,7746.78
838,7478.12
838.5,7147.4
839,6974.96
839.5,6726.73
840,6444.49
840.5,6399.63
841,6314.23
841.5,6162.83
842,6061.99
842.5,6024.8
843,6013.62
843.5,5941.94
844,5892.1
844.5,5920
845,5904.76
845.5,5886.12
846,5896.75
846.5,5911.76
847,5995.18
847.5,6257.48
848,6335.1
848.5,6501.43
849,6632.1
849.5,6756.02
850,6819.79
850.5,6906.69
851,6924.35
851.5,7026
852,7135.79
852.5,7232.09
853,7383.33
853.5,7457.29
854,7522.92
854.5,7622.26
855,7618.09
855.5,7709.76
856,7840.11
856.5,7882.84
857,8047.25
857.5,8142.06
858,8197.77
858.5,8227.8
859,8284.57
859.5,8132.6
860,8100.38
860.5,8001.26
861,7781.74
861.5,7623.52
862,7382.85
862.5,6995.99
863,6836.93
863.5,6572.15
864,6249.24
864.5,6198.71
865,6121.48
865.5,6003.41
866,5911.65
866.5,5911.91
